,MRSP,Drivetrain,Passenger Capacity,Passenger Doors,Transmission,"Fuel Tank Capacity, Approx (gal)",Engine Type,Brake Type,Brake ABS System,Spare Wheel Material,Front Wheel Material,Rear Wheel Material,Suspension Type - Front,Suspension Type - Rear,Child Safety Rear Door Locks,Daytime Running Lights,Traction Control,Rollover Protection Bars,Fog Lamps,Parking Aid,Tire Pressure Monitor,Back-Up Camera,Stability Control,Basic Miles/km,Basic Years,Corrosion Miles/km,Corrosion Years,Drivetrain Miles/km,Drivetrain Years,Roadside Assistance Miles/km,Roadside Assistance Years,City Mileage,Highway Mileage,Engine Fuel Type,Engine Displacement,Gears,torque,Horsepower,Year,Make,Main Make
66,46300.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,26.0,77,3.5,9,267.0,290.0,2019,2030,0
67,51300.0,0,6,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,20.0,27.0,77,3.5,9,267.0,290.0,2019,2030,0
68,49300.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,1,1,1,1,6,2,4,5,6,5,5,3,20.0,27.0,77,3.5,9,267.0,290.0,2019,2030,0
69,58050.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,20.0,27.0,77,3.5,9,267.0,290.0,2019,2030,0
70,56050.0,0,6,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,20.0,27.0,77,3.5,9,267.0,290.0,2019,2030,0
71,44200.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,9,267.0,290.0,2018,1710,0
72,52600.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,26.0,77,3.5,9,267.0,290.0,2018,1710,0
73,50600.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,26.0,77,3.5,9,267.0,290.0,2018,1710,0
74,58650.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,19.0,26.0,77,3.5,9,267.0,290.0,2018,1710,0
75,56650.0,2,6,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,1,1,1,1,1,6,2,4,5,6,5,5,3,19.0,26.0,77,3.5,9,267.0,290.0,2018,1710,0
78,46200.0,2,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,18.0,26.0,77,3.5,9,267.0,290.0,2018,1710,0
79,50600.0,0,7,4,0,19.5,73,1,0,4,1,1,99,100,1,1,1,0,0,0,1,1,1,6,2,4,5,6,5,5,3,19.0,27.0,77,3.5,9,267.0,290.0,2018,1710,0
